header,status,stderr
circulation_mechanism.hpp,passed,
circulation_mechanism_bundle_agent.hpp,passed,
circulation_mechanism_capacity.hpp,passed,
circulation_mechanism_communication_bindings.hpp,passed,
circulation_mechanism_container.hpp,passed,
circulation_mechanism_container_registry.hpp,passed,
circulation_mechanism_diagnostics.hpp,passed,
circulation_mechanism_dispatcher.hpp,passed,
circulation_mechanism_eviction.hpp,passed,
circulation_mechanism_ids.hpp,passed,
circulation_mechanism_ingress.hpp,passed,
circulation_mechanism_moderator.hpp,passed,
circulation_mechanism_production_readiness.hpp,passed,
circulation_mechanism_read_side_profile.hpp,passed,
circulation_mechanism_reference_precalculator.hpp,passed,
circulation_mechanism_release_recycle.hpp,passed,
circulation_mechanism_reports.hpp,passed,
circulation_mechanism_round_manager.hpp,passed,
circulation_mechanism_safe_points.hpp,passed,
circulation_mechanism_slot.hpp,passed,
circulation_mechanism_state.hpp,passed,
circulation_mechanism_views.hpp,passed,
